oid,x,y,AREA,PERIMETER,ESRI_NUM,ESRI_ID,AREA1,PERIMETER1,CNTYPT_,CNTYPT_ID,GEOGLOBE_P,PINYIN,CLASS,ID,PN,ADCODE93
1,122.53233,52.968872,0,0,0,0,0,0,0,0,漠河县,Mohe Xian,AI,0,0,0
2,124.7058,52.340332,0,0,0,0,0,0,0,0,塔河县,Tahe Xian,AI,0,0,0
3,126.64722,51.721256,0,0,0,0,0,0,0,0,呼玛县,Huma Xian,AI,0,0,0
4,121.52889,50.778202,0,0,0,0,0,0,0,0,额尔古纳左旗,Ergun Zuoqi,AI,0,0,0
5,123.7121,50.584728,0,0,0,0,0,0,0,0,鄂伦春自治旗,Oroqen Zizhiqi,AI,0,0,0
6,120.18608,50.256592,0,0,0,0,0,0,0,0,额尔古纳右旗,Ergun Youqi,AI,0,0,0
7,127.48344,50.241886,0,0,0,0,0,0,0,0,黑河市,Heihe Shi,AH,0,0,0
8,117.44364,49.578434,0,0,0,0,0,0,0,0,满洲里市,Manzhouli Shi,AH,0,0,0
9,128.46942,49.573723,0,0,0,0,0,0,0,0,逊克县,Xunke Xian,AI,0,0,0
10,127.30821,49.417625,0,0,0,0,0,0,0,0,孙吴县,Sunwu Xian,AI,0,0,0
11,119.43135,49.326984,0,0,0,0,0,0,0,0,陈巴尔虎旗,Chen Barag Qi,AI,6,0,0
12,120.72807,49.282692,0,0,0,0,0,0,0,0,牙克石市,Yakeshi Shi,AH,0,0,0
13,125.21407,49.16605,0,0,0,0,0,0,0,0,嫩江县,Nenjiang Xian,AI,0,0,0
14,119.73965,49.135914,0,0,0,0,0,0,0,0,鄂温克族自治旗,Ewenkizu Zizhiqi,AI,0,0,0
15,130.39046,48.886162,0,0,0,0,0,0,0,0,嘉荫县,Jiayin Xian,AI,0,0,0
16,116.82276,48.657913,0,0,0,0,0,0,0,0,新巴尔虎右旗,Xin Barag Youqi,AI,0,0,0
17,126.13609,48.648151,0,0,0,0,0,0,0,0,五大连池市,Wudalianchi Shi,AH,0,0,0
18,126.18587,48.510941,0,0,0,0,0,0,0,0,德都县,Dedu Xian,AI,0,0,0
19,124.50088,48.472195,0,0,0,0,0,0,0,0,莫力达瓦达斡尔族自治旗,Morin Dawa Daurzu Zizhiqi,AI,0,0,0
20,124.87743,48.47015,0,0,0,0,0,0,0,0,讷河县,Nehe Xian,AI,0,0,0
21,134.27904,48.366611,0,0,0,0,0,0,0,0,抚远县,Fuyuan Xian,AI,0,0,0
22,126.50303,48.242203,0,0,0,0,0,0,0,0,北安市,Bei'an Shi,AH,0,0,0
23,118.26714,48.21603,0,0,0,0,0,0,0,0,新巴尔虎左旗,Xin Barag Zuoqi,AI,0,0,0
24,123.46703,48.119438,0,0,0,0,0,0,0,0,阿荣旗,Arong Qi,AI,0,0,0
25,86.419479,48.059563,0,0,0,0,0,0,0,0,哈巴河县,Habahe(Kaba) Xian,AI,0,0,0
26,126.23415,48.037834,0,0,0,0,0,0,0,0,克东县,Kedong Xian,AI,0,0,0
27,125.86457,48.032482,0,0,0,0,0,0,0,0,克山县,Keshan Xian,AI,0,0,0
28,122.73337,48.010651,0,0,0,0,0,0,0,0,扎兰屯市,Zalantun Shi,AH,0,0,0
29,123.49532,47.913578,0,0,0,0,0,0,0,0,甘南县,Gannan Xian,AI,0,0,0
30,125.30224,47.886478,0,0,0,0,0,0,0,0,依安县,Yi'an Xian,AI,0,0,0
31,124.45644,47.800655,0,0,0,0,0,0,0,0,富裕县,Fuyu Xian,AI,0,0,0
32,86.861977,47.705654,0,0,0,0,0,0,0,0,布尔津县,Burqin Xian,AI,0,0,0
33,132.51485,47.654018,0,0,0,0,0,0,0,0,同江市,Tongjiang Shi,AH,0,0,0
34,126.08456,47.606743,0,0,0,0,0,0,0,0,拜泉县,Baiquan Xian,AI,0,0,0
35,130.82489,47.575756,0,0,0,0,0,0,0,0,萝北县,Luobei Xian,AI,0,0,0
36,126.96616,47.461086,0,0,0,0,0,0,0,0,海伦市,Hailun Shi,AH,0,0,0
37,85.878387,47.440144,0,0,0,0,0,0,0,0,吉木乃县,Jeminay Xian,AI,0,0,0
38,123.18169,47.335445,0,0,0,0,0,0,3,0,龙江县,Longjiang Xian,AI,0,0,0
39,131.84804,47.291882,0,0,0,0,0,0,5,0,绥滨县,Suibin Xian,AI,0,0,0
40,132.03078,47.250305,0,0,0,0,0,0,7,0,富锦市,Fujin Shi,AH,0,0,0
41,127.09043,47.246063,0,0,0,0,0,0,8,0,绥棱县,Suileng Xian,AI,2,0,0
42,124.8744,47.180717,0,0,0,0,0,0,0,0,林甸县,Lindian Xian,AI,0,0,0
43,125.90207,47.178699,0,0,0,0,0,0,0,0,明水县,Mingshui Xian,AI,0,0,0
44,87.498253,47.113373,0,0,0,0,0,0,0,0,福海县,Fuhai(Burultokay) Xian,AI,0,0,0
45,130.71622,47.021423,0,0,0,0,0,0,0,0,桦川县,Huachuan Xian,AI,0,0,0
46,89.523582,46.997253,0,0,0,0,0,0,0,0,富蕴县,Fuyun Xian,AI,0,0,0
47,128.04051,46.980118,0,0,0,0,0,0,0,0,铁力市,Tieli Shi,AH,3,0,0
48,127.50027,46.879078,0,0,0,0,0,0,0,0,庆安县,Qing'an Xian,AI,0,0,0
49,124.44391,46.865696,0,0,1,1,0,0,0,0,杜尔伯特蒙古族自治县,Dorbod Mongolzu Zizhixian,AI,0,0,0
50,126.47477,46.833145,0,0,2,2,0,0,0,0,望奎县,Wangkui Xian,AI,0,0,0
